gene	chr	tss
LY75	2	159904756
PLA2R1	2	160062615
ITGB6	2	160200313
RBMS1	2	160493807
TANK	2	161136954
LINC01806	2	161244738
PSMD14	2	161308274
TBR1	2	161416093
SLC4A10	2	161624334
DPP4	2	162074542
GCG	2	162152404
FAP	2	162243557
IFIH1	2	162318708
GCA	2	162318762
KCNH7	2	162838747
FIGN	2	163736007
GRB14	2	164621850
COBLL1	2	164841418
SLC38A11	2	164955525
SCN3A	2	165204067
SCN2A	2	165293830
CSRNP3	2	165572335
GALNT3	2	165794293
TTC21B	2	165953838
TTC21B-AS1	2	165933856
SCN1A	2	166073639
SCN9A	2	166375987
SCN7A	2	166486971
XIRP2	2	166888486
B3GALT1	2	167818671
STK39	2	168247595
CERS6	2	168456248
CERS6-AS1	2	168786429
NOSTRIN	2	168802589
SPC25	2	168890434
G6PC2	2	168901239
ABCB11	2	169031323
DHRS9	2	169067034
LRP2	2	169362612
BBS5	2	169479495
KLHL41	2	169509701
FASTKD1	2	169573921
PPIG	2	169584339
CCDC173	2	169694421
PHOSPHO2	2	169694453
KLHL23	2	169733845
SSB	2	169798811
METTL5	2	169824931
UBR3	2	169827507
MYO3B	2	170178144
LINC01124	2	170714567
SP5	2	170715346
ERICH2	2	170770681
GAD1	2	170816689
GORASP2	2	170928525
TLK1	2	171160900
METTL8	2	171434109
DCAF17	2	171434250
CYBRD1	2	171522355
DYNC1I2	2	171687408
SLC25A12	2	171894306
METAP1D	2	171999896
DLX1	2	172085479
DLX2	2	172102750
DLX2-AS1	2	172103005
ITGA6	2	172427554
PDK1	2	172555968
RAPGEF4	2	172860037
ZAK	2	173075836
CDCA7	2	173354832
SP3	2	173965702
LINC01960	2	174025279
OLA1	2	174248670
LINC01305	2	174326026
SP9	2	174335092
CIR1	2	174395715
SCRN3	2	174395728
GPR155	2	174487088
WIPF1	2	174634579
CHRNA1	2	174764472
CHN1	2	175005379
ATF2	2	175168206
ATP5G3	2	175181762
LNPK	2	176002345
EVX2	2	176083962
HOXD13	2	176092803
HOXD12	2	176099801
HOXD11	2	176107355
HOXD10	2	176116763
HOXD9	2	176122684
HOXD8	2	176129739
HOXD4	2	176151384
HOXD3	2	176164076
HAGLROS	2	176178165
HOXD1	2	176188578
MTX2	2	176269394
LINC01116	2	176637574
LINC01117	2	176637753
HNRNPA3	2	177212693
NFE2L2	2	177264131
AGPS	2	177392742
TTC30B	2	177552796
TTC30A	2	177618966
PDE11A	2	178072755
RBM45	2	178112423
OSBPL6	2	178194480
PRKRA	2	178451231
DFNB59	2	178451435
FKBP7	2	178478628
PLEKHA3	2	178480471
TTN	2	178807423
CCDC141	2	179050059
SESTD1	2	179264623
ZNF385B	2	179585906
CWC22	2	180007053
SCHLAP1	2	180692103
UBE2E3	2	180980384
LINC01934	2	181123836
ITGA4	2	181456891
CERKL	2	181657107
NEUROD1	2	181680665
SSFA2	2	181891715
PPP1R1C	2	181985823
PDE1A	2	182522845
DNAJC10	2	182716040
FRZB	2	182866770
NCKAP1	2	183038858
DUSP19	2	183078558
NUP35	2	183124354
ZNF804A	2	184598365
FSIP2	2	185738894
LINC01473	2	186086317
ZC3H15	2	186486157
ITGAV	2	186590062
FAM171B	2	186694061
ZSWIM2	2	186849170
CALCRL	2	187448294
TFPI	2	187554505
LINC01090	2	188287691
GULP1	2	188291668
DIRC1	2	188790104
COL3A1	2	188974372
COL5A2	2	189179879
WDR75	2	189441432
SLC40A1	2	189580811
ASNSD1	2	189661398
ANKAR	2	189675984
OSGEPL1	2	189763198
ORMDL1	2	189784371
PMS1	2	189784084
MSTN	2	190062729
C2orf88	2	190180954
HIBCH	2	190320045
INPP1	2	190343469
MFSD6	2	190408354
NEMP2	2	190534742
NAB1	2	190659157
GLS	2	190880820
STAT1	2	191014250
STAT4	2	191151260
MYO1B	2	191245275
NABP1	2	191678071
SDPR	2	191847280
TMEFF2	2	192194933
PCGEM1	2	192749844
LINC01821	2	194344268
LINC01790	2	194730594
SLC39A10	2	195657127
DNAH7	2	196068812
STK17B	2	196171612
HECW2	2	196592684
CCDC150	2	196639631
GTF3C3	2	196799768
C2orf66	2	196810276
PGAP1	2	196926731
ANKRD44	2	197310797
SF3B1	2	197435093
COQ10B	2	197453422
HSPD1	2	197499916
HSPE1	2	197499996
HSPE1-MOB4	2	197499996
MOB4	2	197516042
RFTN2	2	197675860
MARS2	2	197705303
BOLL	2	197785010
PLCL1	2	197804701
LINC01923	2	198375097
SATB2	2	199458096
LINC01877	2	199608067
FTCDNL1	2	199851173
C2orf69	2	199911255
TYW5	2	199955736
MAIP1	2	199955316
SPATS2L	2	200305880
KCTD18	2	200510094
SGO2	2	200526141
AOX1	2	200586007
AOX3P-AOX2P	2	200695722
LINC01792	2	200735177
BZW1	2	200811921
CLK1	2	200864744
PPIL3	2	200889126
NIF3L1	2	200889326
ORC2	2	200963701
FAM126B	2	201071671
NDUFB3	2	201071738
CFLAR	2	201116153
CASP10	2	201182897
CASP8	2	201233442
ALS2CR12	2	201357398
TRAK2	2	201451596
STRADB	2	201451668
C2CD6	2	201619182
TMEM237	2	201642944
MPP4	2	201698694
ALS2	2	201781172
CDK15	2	201806578
FZD7	2	202034586
KIAA2012	2	202073252
SUMO1	2	202238599
NOP58	2	202265715
BMPR2	2	202376326
FAM117B	2	202635177
ICA1L	2	202871985
WDR12	2	202912226
CARF	2	202912217
NBEAL1	2	203014878
CYP20A1	2	203238440
ABI2	2	203328238
RAPH1	2	203535335
CD28	2	203706474
CTLA4	2	203867787
ICOS	2	203936747
PARD3B	2	204545792
NRP2	2	205682499
INO80D	2	206086182
NDUFS1	2	206159519
EEF1B2	2	206159593
GPR1	2	206218047
GPR1-AS	2	206203375
ZDBF2	2	206274640
ADAM23	2	206443643
DYTN	2	206718396
MDH1B	2	206765549
FASTKD2	2	206765387
CPO	2	206939553
KLF7	2	207166016
CREB1	2	207529891
METTL21A	2	207625378
LINC01857	2	207662383
CCNYL1	2	207711539
FZD5	2	207769419
PLEKHM3	2	208025560
CRYGD	2	208124589
CRYGC	2	208129830
CRYGB	2	208146153
CRYGA	2	208163573
C2orf80	2	208190049
IDH1	2	208255143
PIKFYVE	2	208266266
PTH2R	2	208406829
MAP2	2	209579678
UNC80	2	209771992
RPE	2	210002564
KANSL1L	2	210171370
ACADL	2	210225491
MYL1	2	210315171
LANCL1	2	210476767
CPS1	2	210556598
ERBB4	2	212538628
LINC01878	2	212795330
IKZF2	2	213150334
SPAG16	2	213284378
VWC2L	2	214411567
BARD1	2	214809711
ABCA12	2	215138428
ATIC	2	215311955
FN1	2	215436068
LINC00607	2	215843536
LINC01614	2	215718042
MREG	2	216013623
PECR	2	216081816
TMEM169	2	216081865
XRCC5	2	216109296
LINC01963	2	216216888
MARCH4	2	216372027
SMARCAL1	2	216412413
RPL37A	2	216498796
IGFBP2	2	216632827
IGFBP5	2	216695549
TNP1	2	216860059
LINC01921	2	216870771
DIRC3-AS1	2	217282732
DIRC3	2	217756593
TNS1	2	217920236
RUFY4	2	218069014
CXCR2	2	218126012
CXCR1	2	218166993
ARPC2	2	218217396
GPBAR1	2	218261014
AAMP	2	218270209
PNKD	2	218270391
TMBIM1	2	218292577
CATIP	2	218356855
CATIP-AS1	2	218367902
SLC11A1	2	218382028
CTDSP1	2	218399754
VIL1	2	218419114
USP37	2	218568361
CNOT9	2	218568579
PLCD4	2	218607764
ZNF142	2	218659540
BCS1L	2	218659655
RNF25	2	218672058
STK36	2	218672025
TTLL4	2	218710844
CYP27A1	2	218781748
PRKAG3	2	218831789
WNT6	2	218859822
WNT10A	2	218880532
CDK5R2	2	218959627
FEV	2	218985657
CRYBA2	2	218993405
CFAP65	2	219041551
IHH	2	219060516
NHEJ1	2	219160865
SLC23A3	2	219170095
CNPPD1	2	219176993
FAM134A	2	219178189
ZFAND2B	2	219206783
ABCB6	2	219218990
ATG9A	2	219229688
ANKZF1	2	219229756
GLB1L	2	219245429
STK16	2	219245454
TUBA4A	2	219253946
TUBA4B	2	219253242
DNAJB2	2	219279317
PTPRN	2	219309573
RESP18	2	219333177
DNPEP	2	219387940
DES	2	219418376
SPEG	2	219434977
GMPPA	2	219498864
ASIC4	2	219514169
CHPF	2	219543765
TMEM198	2	219544005
OBSL1	2	219571546
INHA	2	219572231
STK11IP	2	219597850
SLC4A3	2	219627569
EPHA4	2	221572358
PAX3	2	222298996
CCDC140	2	222298146
SGPP2	2	222424506
FARSB	2	222656355
MOGAT1	2	222671737
ACSL3	2	222861013
KCNE4	2	223051929
SCG2	2	223602499
AP1S3	2	223837602
WDFY1	2	223945387
MRPL44	2	223957403
SERPINE2	2	224039319
FAM124B	2	224401994
CUL3	2	224585397
DOCK10	2	225042613
NYAP2	2	225400885
IRS1	2	226798790
RHBDD1	2	226835914
COL4A4	2	227164559
COL4A3	2	227164564
MFF	2	227325150
TM4SF20	2	227379306
AGFG1	2	227472171
C2orf83	2	227633320
SLC19A3	2	227718029
CCL20	2	227813841
DAW1	2	227871375
SPHKAP	2	228181645
PID1	2	229271341
DNER	2	229714570
TRIP12	2	229922009
FBXO36	2	229922490
SLC16A14	2	230068999
SP110	2	230220112
SP140	2	230225729
SP140L	2	230327179
SP100	2	230416155
LINC01907	2	230700529
CAB39	2	230713547
ITM2C	2	230864894
GPR55	2	230925226
SPATA3-AS1	2	230996032
SPATA3	2	230996123
C2orf72	2	231037565
PSMD1	2	231056863
HTR2B	2	231125110
ARMC9	2	231198545
B3GNT7	2	231395623
NCL	2	231464494
LINC00471	2	231514339
NMUR1	2	231530471
TEX44	2	231592863
PTMA	2	231708524
PDE6D	2	231781327
COPS7B	2	231786382
NPPC	2	231926403
DIS3L2	2	231961582
ALPP	2	232378533
ALPPL2	2	232406841
ALPI	2	232456111
ECEL1	2	232487859
PRSS56	2	232520462
CHRND	2	232526159
CHRNG	2	232539726
TIGD1	2	232550590
EIF4E2	2	232550586
EFHD1	2	232633496
GIGYF2	2	232697304
KCNJ13	2	232776565
C2orf82	2	232870093
NGEF	2	233013241
NEU2	2	233032671
ATG16L1	2	233251570
SAG	2	233307662
DGKD	2	233388153
USP40	2	233565590
UGT1A8	2	233617644
UGT1A10	2	233636476
UGT1A9	2	233671897
UGT1A7	2	233681937
UGT1A6	2	233692865
UGT1A5	2	233712991
UGT1A4	2	233718791
UGT1A3	2	233729126
UGT1A1	2	233760272
MROH2A	2	233775678
HJURP	2	233854566
TRPM8	2	233917397
SPP2	2	234050701
ARL4C	2	234497049
LINC01173	2	234682667
SH3BP4	2	234951983
AGAP1	2	235494088
GBX2	2	236168009
ASB18	2	236264345
IQCA1	2	236507535
ACKR3	2	236569736
COPS8	2	237085440
COL6A3	2	237414207
MLPH	2	237487218
PRLH	2	237566573
RAB17	2	237591126
LRRFIP1	2	237692163
RBM44	2	237798744
RAMP1	2	237859543
UBE2F-SCLY	2	237966944
UBE2F	2	237966944
SCLY	2	238060923
ESPNL	2	238100309
KLHL30	2	238138721
ERFE	2	238159007
ILKAP	2	238203683
HES6	2	238240124
PER2	2	238288566
TRAF3IP1	2	238320543
ASB1	2	238426927
LINC01107	2	238555499
TWIST2	2	238848031
LINC01940	2	238926269
HDAC4	2	239400949
NDUFA10	2	240025402
OR6B2	2	240030429
OR6B3	2	240046072
COPS9	2	240136347
OTOS	2	240140656
GPC1	2	240435697
ANKMY1	2	240558021
DUSP28	2	240560053
RNPEPL1	2	240568586
CAPN10	2	240586715
GPR35	2	240605407
AQP12B	2	240682900
AQP12A	2	240691844
KIF1A	2	240820308
AGXT	2	240868744
C2orf54	2	240892038
SNED1	2	240998837
MTERF4	2	241102332
PASK	2	241149504
PPP1R7	2	241149657
ANO7	2	241188508
HDLBP	2	241272886
SEPT2	2	241315860
FARP2	2	241356248
STK25	2	241508695
BOK	2	241558730
THAP4	2	241637310
ATG4B	2	241637611
DTYMK	2	241686968
ING5	2	241702018
D2HGDH	2	241734578
GAL3ST2	2	241776824
NEU4	2	241810931
PDCD1	2	241858906
RTP5	2	241869733
LINC01237	2	241881362
LINC01238	2	241970682
LINC01986	3	23756
CHL1-AS2	3	197341
CHL1	3	196595
LINC01266	3	592104
CNTN6	3	1092657
CNTN4-AS2	3	2144241
CNTN4	3	2892214
IL5RA	3	3110374
TRNT1	3	3126915
CRBN	3	3179717
LRRN1	3	3799430
SETMAR	3	4303303
SUMF1	3	4467282
ITPR1	3	4493347
EGOT	3	4751590
BHLHE40	3	4979411
ARL8B	3	5122244
EDEM1	3	5187673
GRM7-AS3	3	6805449
GRM7	3	6861114
LMCD1	3	8501806
SSUH2	3	8652078
CAV3	3	8733799
OXTR	3	8769614
RAD18	3	8963475
SRGAP3	3	9249685
THUMPD3	3	9363032
SETD5	3	9397699
LHFPL4	3	9553802
MTMR14	3	9649432
CPNE9	3	9703825
BRPF1	3	9731749
OGG1	3	9749943
CAMK1	3	9769984
TADA3	3	9793011
ARPC4	3	9792494
ARPC4-TTLL3	3	9792547
TTLL3	3	9809959
RPUSD3	3	9844018
CIDEC	3	9880254
JAGN1	3	9890586
IL17RE	3	9902827
IL17RC	3	9917073
CRELD1	3	9933840
PRRT3	3	9952415
EMC3	3	10011248
FANCD2	3	10026386
FANCD2OS	3	10108231
BRK1	3	10115648
VHL	3	10141634
IRAK2	3	10164878
TATDN2	3	10248492
GHRL	3	10292947
SEC13	3	10321188
ATP2B2	3	10505584
LINC00606	3	10764192
SLC6A11	3	10816199
SLC6A1	3	10992733
HRH1	3	11252698
ATG7	3	11272323
VGLL4	3	11720768
TAMM41	3	11846919
SYN2	3	12004359
TIMP4	3	12159351
PPARG	3	12287849
TSEN2	3	12484431
MKRN2OS	3	12545464
MKRN2	3	12557013
RAF1	3	12664201
TMEM40	3	12759309
CAND2	3	12796671
RPL32	3	12841582
LINC02022	3	12885211
IQSEC1	3	12967698
NUP210	3	13420319
HDAC11	3	13480214
FBLN2	3	13549124
WNT7A	3	13880121
CHCHD4	3	14124871
TMEM43	3	14124939
XPC	3	14178672
LSM3	3	14178727
LINC01267	3	14352568
SLC6A6	3	14402575
GRIP2	3	14540343
CCDC174	3	14651745
C3orf20	3	14675098
LINC02011	3	14811414
FGD5	3	14818961
NR2C2	3	14947583
MRPS25	3	15065337
RBSN	3	15099157
CAPN7	3	15206225
SH3BP5	3	15332629
METTL6	3	15427547
EAF1	3	15427556
COLQ	3	15521751
HACL1	3	15601852
BTD	3	15601744
ANKRD28	3	15859546
GALNT15	3	16174676
DPH3	3	16264989
OXNAD1	3	16265159
RFTN1	3	16513715
LINC00690	3	16536317
DAZL	3	16605499
PLCL2	3	16933089
TBC1D5	3	17742739
SATB1	3	18444863
SATB1-AS1	3	18445236
KCNH8	3	19148524
EFHB	3	19934214
RAB5A	3	19947079
PP2D1	3	20012273
KAT2B	3	20040031
SGO1	3	20186233
SGO1-AS1	3	20174285
ZNF385D	3	21751324
ZNF385D-AS2	3	21957138
UBE2E2	3	23203292
UBE2E1	3	23805892
NKIRAS1	3	23917046
RPL15	3	23916803
NR1D2	3	23945259
LINC00691	3	24103247
THRB	3	24494822
THRB-AS1	3	24494086
RARB	3	25428262
TOP2B	3	25664372
NGLY1	3	25783498
OXSM	3	25790071
LINC00692	3	25873695
LRRC3B	3	26622805
NEK10	3	27369460
SLC4A7	3	27484420
EOMES	3	27722715
LINC01981	3	27834136
CMC1	3	28241632
AZI2	3	28349127
ZCWPW2	3	28349148
RBMS3	3	29281311
TGFBR2	3	30606501
GADL1	3	30894661
STT3B	3	31532500
OSBPL10	3	31981850
ZNF860	3	31981773
GPD1L	3	32106510
CMTM8	3	32238678
CMTM7	3	32391670
CMTM6	3	32502911
DYNC1LI1	3	32570874
CNOT10	3	32685144
TRIM71	3	32818017
CCR4	3	32951573
GLB1	3	33097230
TMPPE	3	33096801
CRTAP	3	33113957
SUSD5	3	33219215
FBXL2	3	33277441
UBP1	3	33440378
CLASP2	3	33718213
PDCD6IP	3	33798570
ARPP21	3	35679623
STAC	3	36380486
DCLK3	3	36739861
TRANK1	3	36945057
EPM2AIP1	3	36993304
MLH1	3	36993776
LRRFIP2	3	37176360
GOLGA4	3	37243190
C3orf35	3	37399476
ITGA9	3	37452321
ITGA9-AS1	3	37861780
CTDSPL	3	37862177
VILL	3	37993586
PLCD1	3	38024787
DLEC1	3	38039204
ACAA1	3	38137242
MYD88	3	38138477
OXSR1	3	38165534
SLC22A13	3	38265806
SLC22A14	3	38305935
XYLB	3	38346759
ACVR2B	3	38454298
EXOG	3	38496271
SCN5A	3	38649672
SCN10A	3	38794010
SCN11A	3	38950561
WDR48	3	39051985
GORASP1	3	39107900
TTC21A	3	39107660
CSRNP1	3	39153611
XIRP1	3	39192586
CX3CR1	3	39280036
CCR8	3	39329705
SLC25A38	3	39383323
RPSA	3	39406688
MOBP	3	39467572
MYRIP	3	39809659
EIF1B-AS1	3	40309698
EIF1B	3	40309681
ENTPD3	3	40387155
RPL14	3	40457291
ZNF619	3	40477112
ZNF620	3	40506038
ZNF621	3	40524877
CTNNB1	3	41199450
ULK4	3	41962440
TRAK1	3	42160168
CCK	3	42266195
LYZL4	3	42410602
VIPR1	3	42502611
SEC22C	3	42582028
SS18L2	3	42581839
NKTR	3	42600654
ZBTB47	3	42653683
KLHL40	3	42685518
HHATL	3	42702827
CCDC13	3	42773253
HIGD1A	3	42804535
ACKR2	3	42809471
CYP8B1	3	42876141
ZNF662	3	42905909
KRBOX1	3	42936341
FAM198A	3	42979266
POMGNT2	3	43106083
SNRK	3	43286511
ANO10	3	43622077
ABHD5	3	43690882
TOPAZ1	3	44241885
TCAIM	3	44338451
LINC01988	3	44427921
ZNF445	3	44477670
ZNF852	3	44510640
ZKSCAN7	3	44555174
ZNF660	3	44584963
ZNF197	3	44625018
ZNF35	3	44648740
ZNF502	3	44712642
ZNF501	3	44729605
KIAA1143	3	44761681
KIF15	3	44761716
TMEM42	3	44861908
TGM4	3	44874605
ZDHHC3	3	44976182
EXOSC7	3	44976248
CLEC3B	3	45026266
CDCP1	3	45146422
TMEM158	3	45226322
LARS2	3	45388582
LIMD1	3	45594830
SACM1L	3	45689240
SLC6A20	3	45796543
LZTFL1	3	45842158
CCR9	3	45886503
FYCO1	3	45995824
CXCR6	3	45943480
XCR1	3	46027487
CCR1	3	46208341
CCR3	3	46242380
CCR2	3	46353743
CCR5	3	46370141
CCRL2	3	46407229
LTF	3	46465163
RTP3	3	46497994
LRRC2	3	46566550
TDGF1	3	46577585
ALS2CL	3	46693713
TMIE	3	46701332
PRSS50	3	46717883
PRSS45	3	46744755
PRSS42	3	46834095
MYL3	3	46863483
PTH1R	3	46877745
CCDC12	3	46982010
NBEAL2	3	46979682
SETD2	3	47163977
KIF9	3	47282847
KLHL18	3	47282839
PTPN23	3	47380981
SCAP	3	47475959
ELP6	3	47513709
CSPG5	3	47578869
SMARCC1	3	47781915
DHX30	3	47802908
MAP4	3	48089279
CDC25A	3	48188311
CAMP	3	48223346
ZNF589	3	48241105
NME6	3	48301411
SPINK8	3	48328341
FBXW12	3	48372218
PLXNB1	3	48429463
CCDC51	3	48440119
TMA7	3	48440237
ATRIP	3	48446709
TREX1	3	48465519
SHISA5	3	48504249
PFKFB4	3	48556923
UCN2	3	48563768
COL7A1	3	48595160
UQCRC1	3	48609665
TMEM89	3	48621756
SLC26A6	3	48635493
CELSR3	3	48662915
NCKIPSD	3	48685933
IP6K2	3	48717278
PRKAR2A	3	48847850
SLC25A20	3	48898993
ARIH2OS	3	48919385
ARIH2	3	48918819
P4HTM	3	48989907
WDR6	3	49007061
DALRD3	3	49018608
NDUFAF3	3	49021640
IMPDH2	3	49029442
QRICH1	3	49094373
QARS	3	49105129
USP19	3	49120938
LAMB2	3	49133166
CCDC71	3	49166352
KLHDC8B	3	49171584
C3orf84	3	49191858
CCDC36	3	49198427
C3orf62	3	49277075
USP4	3	49340103
RHOA	3	49412097
TCTA	3	49412205
AMT	3	49422678
NICN1	3	49429324
DAG1	3	49470131
BSN-AS2	3	49554366
BSN	3	49554488
APEH	3	49674001
MST1	3	49688763
RNF123	3	49689498
AMIGO3	3	49719805
GMPPB	3	49723974
IP6K1	3	49786540
CDHR4	3	49799835
FAM212A	3	49803253
UBA7	3	49813958
TRAIP	3	49856559
CAMKV	3	49870222
MST1R	3	49903637
MON1A	3	49930012
RBM6	3	49940043
RBM5	3	50088907
SEMA3F	3	50155410
GNAT1	3	50191609
SLC38A3	3	50205245
GNAI2	3	50236156
SEMA3B	3	50273118
LSMEM2	3	50279026
IFRD2	3	50292595
HYAL3	3	50299468
NAT6	3	50299421
HYAL1	3	50303601
HYAL2	3	50322850
TUSC2	3	50328238
RASSF1	3	50340936
ZMYND10	3	50345746
NPRL2	3	50351055
CYB561D2	3	50350694
TMEM115	3	50359508
CACNA2D2	3	50503597
C3orf18	3	50567792
HEMK1	3	50569151
CISH	3	50611831
MAPKAPK3	3	50617130
DOCK3	3	50675240
MANF	3	51385236
RBM15B	3	51391267
DCAF1	3	51500002
RAD54L2	3	51538682
TEX264	3	51671174
GRM2	3	51707032
IQCF6	3	51779187
IQCF3	3	51826882
IQCF2	3	51861628
IQCF5	3	51875584
IQCF1	3	51903370
RRP9	3	51941941
PARP3	3	51942304
GPR62	3	51955313
PCBP4	3	51967466
ABHD14B	3	51974630
ABHD14A	3	51975025
ABHD14A-ACY1	3	51975025
ACY1	3	51983283
RPL29	3	51995942
DUSP7	3	52056445
POC1A	3	52154690
ALAS1	3	52198082
TLR9	3	52226163
TWF2	3	52239167
PPM1M	3	52245792
WDR82	3	52278643
GLYCTK	3	52287819
GLYCTK-AS1	3	52289733
DNAH1	3	52316318
BAP1	3	52410105
PHF7	3	52410507
SEMA3G	3	52445085
TNNC1	3	52454041
NISCH	3	52455507
STAB1	3	52495339
NT5DC2	3	52535077
SMIM4	3	52536604
PBRM1	3	52685850
GNL3	3	52685919
GLT8D1	3	52706083
SPCS1	3	52705840
NEK4	3	52770949
ITIH1	3	52777585
ITIH3	3	52794767
ITIH4	3	52830701
MUSTN1	3	52835219
TMEM110-MUSTN1	3	52897581
TMEM110	3	52897581
SFMBT1	3	53046073
RFT1	3	53130454
PRKCD	3	53161206
TKT	3	53256114
DCP1A	3	53347627
CACNA1D	3	53495048
CHDH	3	53846393
IL17RB	3	53846549
ACTR8	3	53882202
SELENOK	3	53892015
CACNA2D3	3	54122665
LRTM1	3	54928074
WNT5A	3	55487642
ERC2	3	56468363
CCDC66	3	56557155
FAM208A	3	56664046
ARHGEF3	3	56801967
SPATA12	3	57060440
IL17RD	3	57165399
HESX1	3	57200252
APPL1	3	57227736
ASB14	3	57278952
DNAH12	3	57544344
PDE12	3	57556246
ARF4	3	57597488
DENND6A	3	57693089
SLMAP	3	57889913
FLNB	3	58008399
DNASE1L3	3	58211003
ABHD6	3	58237501
RPP14	3	58306244
PXK	3	58332889
PDHB	3	58433852
KCTD6	3	58498364
ACOX2	3	58537202
FAM107A	3	58577764
FAM3D	3	58666834
C3orf67	3	59049989
FHIT	3	61251461
PTPRG	3	61561568
PTPRG-AS1	3	62318947
C3orf14	3	62318972
FEZF2	3	62373515
CADPS	3	62875389
LINC00698	3	63102687
SYNPR	3	63443076
SNTN	3	63652667
C3orf49	3	63819364
THOC7	3	63863923
ATXN7	3	63864556
PSMD6	3	64023606
LINC00994	3	64087363
PRICKLE2	3	64225455
ADAMTS9	3	64687689
ADAMTS9-AS1	3	64561345
MAGI1	3	66038834
SLC25A26	3	66220741
LRIG1	3	66500421
KBTBD8	3	66998302
SUCLG2	3	67654614
SUCLG2-AS1	3	67654696
FAM19A1	3	68004215
FAM19A4	3	68932610
EOGT	3	69013894
TMF1	3	69052333
UBA3	3	69080373
ARL6IP5	3	69084938
LMOD3	3	69122595
FRMD4B	3	69386304
MITF	3	69936599
SAMMSON	3	69999743
FOXP1	3	71583989
EIF4E3	3	71754773
GPR27	3	71753723
PROK2	3	71785206
LINC00877	3	72100455
LINC00870	3	72151256
RYBP	3	72446623
SHQ1	3	72848447
GXYLT2	3	72888233
PPP4R2	3	72996784
EBLN2	3	73061658
PDZRN3	3	73624921
CNTN3	3	74521140
FRG2C	3	75664335
LINC00960	3	75672390
ZNF717	3	75785583
ROBO2	3	77040142
ROBO1	3	79019459
LINC02027	3	80993867
GBE1	3	81761799
LINC00971	3	84869575
CADM2	3	85505058
LINC02070	3	86481942
VGLL3	3	86991123
LINC00506	3	87089279
CHMP2B	3	87227262
POU1F1	3	87276587
HTR1F	3	87982575
CGGBP1	3	88058996
ZNF654	3	88139111
C3orf38	3	88149742
EPHA3	3	89107523
PROS1	3	93974090
ARL13B	3	93980138
STX19	3	94028610
DHFR2	3	94062987
NSUN3	3	94062904
LINC00879	3	94938262
EPHA6	3	97439592
ARL6	3	97764520
CRYBG3	3	97822039
RIOX2	3	97972451
GABRR3	3	98035304
OR5AC2	3	98087172
OR5H1	3	98132697
OR5H14	3	98149385
OR5H15	3	98168699
OR5H6	3	98264284
OR5H2	3	98282887
OR5K4	3	98353853
OR5K3	3	98390665
OR5K1	3	98469479
OR5K2	3	98497680
CLDND1	3	98523066
GPR15	3	98531898
CPOX	3	98593611
ST3GAL6	3	98732235
DCBLD2	3	98901689
COL8A1	3	99638595
CMSS1	3	99817833
FILIP1L	3	99876203
TBC1D23	3	100260816
NIT2	3	100334717
TOMM70	3	100401398
LNP1	3	100401192
TMEM45A	3	100492618
ADGRG7	3	100609588
TFG	3	100709330
ABI3BP	3	100993490
IMPG2	3	101320575
SENP7	3	101513241
TRMT10C	3	101561835
PCNP	3	101574093
ZBTB11	3	101677144
RPL24	3	101686719
CEP97	3	101724592
NXPE3	3	101779176
NFKBIZ	3	101849513
LINC02085	3	101940858
ZPLD1	3	102435014
ALCAM	3	105366712
CBLB	3	105869043
LINC00882	3	107240638
DUBR	3	107240691
CCDC54	3	107377340
LINC01990	3	107430929
BBX	3	107522935
LINC00635	3	107878068
LINC00636	3	107883204
CD47	3	108091088
LINC01215	3	108125820
IFT57	3	108222570
HHLA2	3	108296489
MYH15	3	108529322
KIAA1524	3	108589644
DZIP3	3	108589489
RETNLB	3	108757283
TRAT1	3	108822697
GUCA1C	3	108953830
MORC1	3	109118146
FLJ22763	3	109136713
LINC00488	3	109178164
DPPA2	3	109316517
DPPA4	3	109337572
LINC01205	3	109409989
NECTIN3	3	111071758
CD96	3	111542078
ZBED2	3	111595335
PLCXD2	3	111674675
PHLDB2	3	111859179
ABHD10	3	111978875
TAGLN3	3	111998738
TMPRSS7	3	112039617
C3orf52	3	112086334
GCSAM	3	112133305
SLC9C1	3	112294258
CD200	3	112332946
BTLA	3	112499561
ATG3	3	112561963
SLC35A5	3	112561984
LINC01279	3	112601969
CCDC80	3	112641143
LINC02042	3	112749319
CD200R1L	3	112845950
CD200R1	3	112975090
GTPBP8	3	112990952
NEPRO	3	113019733
LINC02044	3	113167731
BOC	3	113211464
CFAP44	3	113441514
SPICE1	3	113515187
SIDT1	3	113532370
USF3	3	113696646
NAA50	3	113746299
ATP6V1A	3	113747018
GRAMD1C	3	113838833
ZDHHC23	3	113947900
CCDC191	3	114056613
QTRT2	3	114056734
DRD3	3	114179052
ZNF80	3	114237578
TIGIT	3	114293985
ZBTB20	3	115147280
ZBTB20-AS5	3	114453592
ZBTB20-AS3	3	114873032
ZBTB20-AS4	3	115100422
GAP43	3	115623303
LSAMP	3	116445538
IGSF11	3	119146051
C3orf30	3	119146149
UPK1B	3	119173577
B4GALT4	3	119240905
ARHGAP31	3	119294372
TMEM39A	3	119463682
POGLUT1	3	119468937
TIMMDC1	3	119498520
CD80	3	119559634
ADPRH	3	119579432
PLA1A	3	119597847
POPDC2	3	119660590
COX17	3	119677396
MAATS1	3	119703021
NR1I2	3	119780483
GSK3B	3	120094417
GPR156	3	120244295
LRRC58	3	120349339
